"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
106,Luxembourg,"233,966",,"1,058 ",,"221,501",,"11,407",1,"363,115","1,642","4,213,886","6,539,950"
107,Mozambique,"225,352",,"2,201 ",,"223,104",,47,13,"6,864",67,"1,308,458","39,852"
108,Laos,"204,893",+619,732 ,+2,"7,660",,"196,501",,"27,444",98,"1,232,128","165,036"
109,Kyrgyzstan,"200,983",,"2,991 ",,"196,376",+5,"1,616",131,"29,916",445,"1,907,195","283,886"
110,Iceland,"183,974",,112 ,,"75,685",,"108,177",1,"532,895",324,"1,953,616","5,658,801"
111,Maldives,"178,883",,298 ,,"163,687",,"14,898",25,"320,752",534,"2,213,831","3,969,580"
112,Afghanistan,"178,648",+10,"7,681 ",+1,"161,708",+25,"9,259","1,124","4,410",190,"939,616","23,196"
113,Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,394",74,"2,612,795","54,047"
114,El Salvador,"162,089",,"4,127 ",,"150,662",,"7,300",8,"24,765",631,"1,950,448","297,997"
115,Ghana,"161,124",,"1,445 ",,"159,655",,24,1,"4,997",45,"2,433,244","75,469"
116,Namibia,"158,280",,"4,023 ",,"153,662",,595,,"60,324","1,533","1,000,123","381,171"
117,Martinique,"147,519",,918 ,,104,,"146,497",8,"393,656","2,450","828,928","2,212,002"
118,Trinidad and Tobago,"143,884",,"3,811 ",,"133,368",,"6,705",18,"102,215","2,707","695,006","493,733"
119,Brunei ,"141,014",+141,218 ,,"139,724",+201,"1,072",2,"316,865",490,"717,784","1,612,893"
120,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,109","2,134","938,039","2,343,650"
121,Cambodia,"136,200",+28,"3,056 ",,"132,896",+16,248,,"7,948",178,"2,946,965","171,976"
122,Rwanda,"129,764",,"1,458 ",,"45,522",,"82,784",,"9,590",108,"5,225,494","386,198"
